detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
HARRIS,ORB,1,12.515600,8.813354,3.702246
HARRIS,ORB,2,12.614245,11.008145,1.606100
HARRIS,ORB,3,14.091013,-11.473146,25.564158
HARRIS,ORB,4,16.689386,12.628983,4.060403
HARRIS,ORB,5,15.908233,19.215937,3.307704
HARRIS,ORB,6,12.678716,14.963291,2.284575
HARRIS,ORB,7,11.984351,13.711970,1.727619
HARRIS,ORB,8,13.124118,13.570416,0.446298
HARRIS,ORB,9,13.024118,nan,nan
HARRIS,ORB,10,11.174641,nan,nan
HARRIS,ORB,11,12.808601,nan,nan
HARRIS,ORB,12,8.959780,23.907115,14.947334
HARRIS,ORB,13,9.964390,13.409498,3.445108
HARRIS,ORB,14,9.598630,5.660966,3.937664
HARRIS,ORB,15,8.573525,-11.521834,20.095359
HARRIS,ORB,16,9.516170,6.339291,3.176879
HARRIS,ORB,17,9.546581,nan,nan
HARRIS,ORB,18,8.398803,nan,nan
